Temperature,Stress,Ni,Al,Co,Cr,Mo,Re,Ru,Ti,Ta,W,Hf,Nb,Si,C,Y,Ce,B,Ni_A1,Al_A1,Co_A1,Cr_A1,Mo_A1,Re_A1,Ru_A1,Ti_A1,Ta_A1,W_A1,Hf_A1,Ni_L12,Al_L12,Co_L12,Cr_L12,Mo_L12,Re_L12,Ru_L12,Ti_L12,Ta_L12,W_L12,Hf_L12,creep_life
1100,137,58.9,5.9,11.8,3,2,4.9,1.6,0,5.9,5.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623953151,0.135951496,0.124485681,0.035867662,0.012963065,0.016357075,0.009841546,0,0.020271257,0.019952538,0.000350682,148
1100,137,64.3,6,6,3,2,5,2,0,5.6,6,0.1,0,0,0,0,0,0,0.305734199,0.04454302,0.046816348,0.027284672,0.00958113,0.014227244,0.009808463,0,0.002746938,0.012849039,1.89E-05,0.375137097,0.093655309,0.016454951,0.008569629,0.00337416,0.002458241,0.002489825,0,0.016486535,0.007432627,0.000326362,416
1100,137,59.9,6,12,3,2,5,0,0,6,6,0.1,0,0,0,0,0,0,0.335889265,0.058740336,0.099754938,0.029239203,0.010038698,0.014952707,0,0,0.00566563,0.015095059,3.42E-05,0.294760385,0.078668793,0.026063613,0.006415791,0.0028462,0.001640548,0,0,0.014820908,0.005068044,0.000314331,210
1100,137,64.9,6,6,3,3,5,0,0,6,6,0.1,0,0,0,0,0,0,0.287236318,0.040676994,0.044603941,0.025997272,0.013686955,0.013823736,0,0,0.002920943,0.012257369,1.76E-05,0.398682395,0.097259506,0.018545576,0.00978965,0.005705042,0.002832964,0,0,0.017645957,0.007984823,0.000329674,275
1100,137,59.2,5.8,5.8,2.9,3.9,4.9,6,0,5.6,5.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641339516,0.137156772,0.058425152,0.03450515,0.022025615,0.009385999,0.025298073,0,0.01973764,0.019209718,0.000356692,1070
1100,120,62,6,9,3.5,1.5,4,0,0,8,6,0,0,0,0,0,0,0,0.296058038,0.047472007,0.073846976,0.032865989,0.007689438,0.011798298,0,0,0.005199665,0.01421959,0,0.358964078,0.090410233,0.020847789,0.008868356,0.002007641,0.001522333,0,0,0.022216867,0.006012704,0,910
1100,137,62,6,9,3.5,1.5,4,0,0,8,6,0,0,0,0,0,0,0,0.296058038,0.047472007,0.073846976,0.032865989,0.007689438,0.011798298,0,0,0.005199665,0.01421959,0,0.358964078,0.090410233,0.020847789,0.008868356,0.002007641,0.001522333,0,0,0.022216867,0.006012704,0,200
1100,150,62,6,9,3.5,1.5,4,0,0,8,6,0,0,0,0,0,0,0,0.296058038,0.047472007,0.073846976,0.032865989,0.007689438,0.011798298,0,0,0.005199665,0.01421959,0,0.358964078,0.090410233,0.020847789,0.008868356,0.002007641,0.001522333,0,0,0.022216867,0.006012704,0,122
1100,174,62,6,9,3.5,1.5,4,0,0,8,6,0,0,0,0,0,0,0,0.296058038,0.047472007,0.073846976,0.032865989,0.007689438,0.011798298,0,0,0.005199665,0.01421959,0,0.358964078,0.090410233,0.020847789,0.008868356,0.002007641,0.001522333,0,0,0.022216867,0.006012704,0,82
1100,150,71.9,6,0,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,0.190430368,0.020390704,0,0.016876772,0.003160064,0.007955839,0,0,0.001945036,0.006693793,1.24E-05,0.568385937,0.117343562,0,0.018858652,0.003296125,0.005350559,0,0,0.025443377,0.013523144,0.000338643,105.5
1100,150,68.9,6,3,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,0.244043478,0.030380909,0.020477227,0.022050549,0.004026054,0.009972386,0,0,0.00292679,0.00962543,1.72E-05,0.483208669,0.107373869,0.011055123,0.013694173,0.002428976,0.003334918,0,0,0.024460445,0.010589022,0.00032824,109.8
1100,150,59.9,6,12,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,0.321611263,0.056758819,0.102870193,0.029600118,0.0053127,0.012135442,0,0,0.007186474,0.015596413,3.31E-05,0.310892236,0.08104709,0.023319836,0.006154282,0.001149158,0.001176092,0,0,0.020213517,0.004628056,0.000314223,103.1
1010,248,75.9,6,0,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,0.152897236,0.014425717,0,0.011848692,0.002022262,0,0,0,0.001527473,0.004692997,7.50E-06,0.625629719,0.119441134,0,0.022882253,0.004249793,0,0,0,0.025084345,0.014951472,0.000333158,11.5
1010,248,72.9,6,3,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7478516,0.133886144,0.030651229,0.034737693,0.006272256,0,0,0,0.026618096,0.01964696,0.000336022,13.75
1010,248,63.9,6,12,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655768839,0.133931267,0.122644332,0.034754884,0.00627587,0,0,0,0.026626854,0.019653126,0.000339999,18.1
982,248,75.9,6,0,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,0.142765437,0.012786552,0,0.011185836,0.001876221,0,0,0,0.001286851,0.004465616,5.23E-06,0.635759869,0.12107864,0,0.023546968,0.004400608,0,0,0,0.025330328,0.015183336,0.000330252,40.3
982,248,72.9,6,3,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747851036,0.133880498,0.030652405,0.034740193,0.006278904,0,0,0,0.026617763,0.019650747,0.000335735,50.5
982,248,63.9,6,12,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,0.27342407,0.039405728,0.092721764,0.026635311,0.004368827,0,0,0,0.004291623,0.013283595,1.36E-05,0.382347637,0.094532035,0.029918587,0.008116938,0.001905051,0,0,0,0.022336591,0.006375645,0.000322057,52.15
850,586,75.9,6,0,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,0.121229168,0.008341637,0,0.009486995,0.001431698,0,0,0,0.000643901,0.004213697,2.91E-06,0.657294222,0.125522446,0,0.025246361,0.004845866,0,0,0,0.025972814,0.015434979,0.000333314,15.2
850,586,72.9,6,3,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747849654,0.133881694,0.03065075,0.034736891,0.006271971,0,0,0,0.026619779,0.019649438,0.000334374,25.05
850,586,63.9,6,12,3,1,0,0,0,8,6,0.1,0,0,0,0,0,0,0.207255595,0.022660437,0.089143359,0.025360435,0.003648254,0,0,0,0.001527345,0.012334574,3.62E-06,0.448518545,0.111273027,0.033498675,0.00939239,0.002628848,0,0,0,0.025101674,0.007325044,0.000331796,52.8
850,586,71.9,6,0,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758800737,0.137735895,0,0.035739977,0.006045462,0.007978446,0,0,0.026690952,0.019973525,0.000345006,229.4
850,586,68.9,6,3,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,0.148246318,0.010092824,0.018521224,0.017575288,0.002648622,0.008362504,0,0,0.000346489,0.006770355,2.13E-06,0.578195579,0.127661995,0.01256845,0.017945995,0.003642349,0.002141639,0,0,0.026879912,0.012240169,0.000343913,275.1
850,586,59.9,6,12,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,0.155632742,0.014233213,0.09091873,0.026598058,0.003822381,0.01262813,0,0,0.000628076,0.012745498,3.17E-06,0.476867364,0.123571334,0.035272931,0.009156214,0.002635569,0.00068279,0,0,0.026772196,0.007483378,0.000341395,283.9
1010,248,71.9,6,0,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,0.153213661,0.013302358,0,0.015031744,0.002727262,0.007778261,0,0,0.000944205,0.005776547,5.96E-06,0.605604958,0.124432243,0,0.020705333,0.003716547,0.005342537,0,0,0.02641632,0.01442565,0.000344421,160.55
1010,248,68.9,6,3,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727250609,0.137756447,0.031533993,0.035743167,0.006455631,0.013309371,0,0,0.027389654,0.020214132,0.000346998,164.55
1010,248,59.9,6,12,3,1,4,0,0,8,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63250233,0.137810136,0.126190247,0.035756591,0.006458302,0.013312282,0,0,0.027400074,0.020224678,0.000346669,167.4
760,840,63.8,5.2,6.5,7.8,2,0,0,1.1,7.9,5.7,0,0,0,0,0,0,0,0.163718896,0.008744666,0.048607187,0.066175683,0.007496298,0,0,0.000264898,0.000197912,0.009271416,0,0.48450226,0.10745394,0.01513105,0.01743258,0.0017446,0,0,0.01358775,0.02599454,0.00515328,0,164.9
760,840,68,5.8,0,4,4,3,4,0,6,5,0.1,0,0.1,0,0,0,0,0.123925192,0.004122513,0,0.021167077,0.00718561,0.002567048,0.013921233,0,2.83E-05,0.004244754,0,0.595459722,0.129349077,0,0.022095216,0.010119037,0.00063492,0.003952377,0,0.020563472,0.01113491,0.000349206,143
760,840,70.3,6,0,4,1,4,4,0.5,5,5,0.1,0,0.1,0,0,0,0,0.127836529,0.004672031,0,0.021198258,0.002432355,0.004650819,0.011380453,5.13E-05,3.01E-05,0.004514706,0,0.605002878,0.131238306,0,0.024990876,0.003652884,0.001271268,0.003516102,0.006332202,0.01685637,0.011393136,0.000345978,2029
